Module                  Size  Used by
ufs                   126976  0
qnx4                   12288  0
hfsplus               135168  0
hfs                    77824  0
minix                  49152  0
ntfs                  139264  0
msdos                  16384  0
jfs                   299008  0
nls_ucs2_utils          8192  1 jfs
xfs                  2363392  0
cpuid                  12288  0
rfcomm                 98304  16
snd_seq_dummy          12288  0
snd_hrtimer            12288  1
ccm                    20480  3
qrtr                   53248  2
cmac                   12288  3
algif_hash             12288  1
algif_skcipher         16384  1
af_alg                 32768  6 algif_hash,algif_skcipher
bnep                   32768  2
amdgpu              17108992  0
amdxcp                 12288  1 amdgpu
drm_exec               12288  1 amdgpu
gpu_sched              61440  1 amdgpu
drm_buddy              20480  1 amdgpu
intel_rapl_msr         20480  0
intel_rapl_common      40960  1 intel_rapl_msr
x86_pkg_temp_thermal    20480  0
intel_powerclamp       24576  0
snd_hda_codec_realtek   200704  1
snd_hda_codec_generic   122880  1 snd_hda_codec_realtek
snd_hda_codec_hdmi     94208  1
snd_hda_intel          61440  2
snd_intel_dspcfg       36864  1 snd_hda_intel
snd_intel_sdw_acpi     16384  1 snd_intel_dspcfg
coretemp               24576  0
snd_hda_codec         204800  4 snd_hda_codec_generic,snd_hda_codec_hdmi,snd_hda_intel,snd_hda_codec_realtek
snd_hda_core          139264  5 snd_hda_codec_generic,snd_hda_codec_hdmi,snd_hda_intel,snd_hda_codec,snd_hda_codec_realtek
snd_hwdep              20480  1 snd_hda_codec
kvm_intel             487424  0
ath9k                 253952  0
ath3k                  20480  0
ath9k_common           45056  1 ath9k
uvcvideo              139264  0
videobuf2_vmalloc      20480  1 uvcvideo
uvc                    12288  1 uvcvideo
btusb                  77824  0
binfmt_misc            24576  1
snd_pcm               192512  4 snd_hda_codec_hdmi,snd_hda_intel,snd_hda_codec,snd_hda_core
at24                   28672  0
radeon               2179072  27
ath9k_hw              663552  2 ath9k_common,ath9k
btrtl                  32768  1 btusb
kvm                  1404928  1 kvm_intel
videobuf2_memops       16384  1 videobuf2_vmalloc
videobuf2_v4l2         36864  1 uvcvideo
btintel                57344  1 btusb
ath                    40960  3 ath9k_common,ath9k,ath9k_hw
videodev              352256  2 videobuf2_v4l2,uvcvideo
snd_seq_midi           24576  0
btbcm                  24576  1 btusb
mei_pxp                16384  0
btmtk                  12288  1 btusb
mei_hdcp               28672  0
nls_iso8859_1          12288  1
snd_seq_midi_event     16384  1 snd_seq_midi
mac80211             1720320  1 ath9k
irqbypass              12288  1 kvm
drm_suballoc_helper    16384  2 amdgpu,radeon
rapl                   20480  0
bluetooth            1028096  45 btrtl,btmtk,btintel,btbcm,bnep,ath3k,btusb,rfcomm
drm_ttm_helper         12288  2 amdgpu,radeon
videobuf2_common       81920  4 videobuf2_vmalloc,videobuf2_v4l2,uvcvideo,videobuf2_memops
snd_rawmidi            57344  1 snd_seq_midi
intel_cstate           24576  0
ttm                   110592  3 amdgpu,radeon,drm_ttm_helper
i2c_i801               36864  0
mc                     81920  4 videodev,videobuf2_v4l2,uvcvideo,videobuf2_common
drm_display_helper    237568  2 amdgpu,radeon
i2c_smbus              16384  1 i2c_i801
ecdh_generic           16384  2 bluetooth
cec                    94208  1 drm_display_helper
snd_seq               118784  9 snd_seq_midi,snd_seq_midi_event,snd_seq_dummy
ecc                    45056  1 ecdh_generic
cfg80211             1327104  4 ath9k_common,ath9k,ath,mac80211
snd_seq_device         16384  3 snd_seq,snd_seq_midi,snd_rawmidi
